"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02937V03552","Sector","UNIT","VALUE"
"NAQ06C01","GVA at Current Basic Prices","20231","2023Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","62760"
"NAQ06C01","GVA at Current Basic Prices","20232","2023Q2","-","All sectors","Euro Million","124969"
"NAQ06C01","GVA at Current Basic Prices","20232","2023Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","59253"
"NAQ06C01","GVA at Current Basic Prices","20232","2023Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","65715"
"NAQ06C01","GVA at Current Basic Prices","20233","2023Q3","-","All sectors","Euro Million","127026"
"NAQ06C01","GVA at Current Basic Prices","20233","2023Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","60774"
"NAQ06C01","GVA at Current Basic Prices","20233","2023Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","66252"
"NAQ06C01","GVA at Current Basic Prices","20234","2023Q4","-","All sectors","Euro Million","124478"
"NAQ06C01","GVA at Current Basic Prices","20234","2023Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","57341"
"NAQ06C01","GVA at Current Basic Prices","20234","2023Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","67137"
"NAQ06C01","GVA at Current Basic Prices","20241","2024Q1","-","All sectors","Euro Million","126897"
"NAQ06C01","GVA at Current Basic Prices","20241","2024Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","59376"
"NAQ06C01","GVA at Current Basic Prices","20241","2024Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","67521"
"NAQ06C01","GVA at Current Basic Prices","20242","2024Q2","-","All sectors","Euro Million","130389"
"NAQ06C01","GVA at Current Basic Prices","20242","2024Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","61011"
"NAQ06C01","GVA at Current Basic Prices","20242","2024Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","69378"
"NAQ06C01","GVA at Current Basic Prices","20243","2024Q3","-","All sectors","Euro Million","136901"
"NAQ06C01","GVA at Current Basic Prices","20243","2024Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","65501"
"NAQ06C01","GVA at Current Basic Prices","20243","2024Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","71400"
"NAQ06C01","GVA at Current Basic Prices","20244","2024Q4","-","All sectors","Euro Million","141691"
"NAQ06C01","GVA at Current Basic Prices","20244","2024Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","70393"
"NAQ06C01","GVA at Current Basic Prices","20244","2024Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","71298"
"NAQ06C01","GVA at Current Basic Prices","20251","2025Q1","-","All sectors","Euro Million","159030"
"NAQ06C01","GVA at Current Basic Prices","20251","2025Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","87366"
"NAQ06C01","GVA at Current Basic Prices","20251","2025Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","71664"
"NAQ06C01","GVA at Current Basic Prices","20252","2025Q2","-","All sectors","Euro Million","152531"
"NAQ06C01","GVA at Current Basic Prices","20252","2025Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","80127"
"NAQ06C01","GVA at Current Basic Prices","20252","2025Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","72403"
"NAQ06C01","GVA at Current Basic Prices","20253","2025Q3","-","All sectors","Euro Million","148807"
"NAQ06C01","GVA at Current Basic Prices","20253","2025Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","77634"
"NAQ06C01","GVA at Current Basic Prices","20253","2025Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","71174"
"NAQ06C01","GVA at Current Basic Prices","20254","2025Q4","-","All sectors","Euro Million","149892"
"NAQ06C01","GVA at Current Basic Prices","20254","2025Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","74176"
"NAQ06C01","GVA at Current Basic Prices","20254","2025Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","75716"
"NAQ06C02","GVA at Constant Basic Prices","19951","1995Q1","-","All sectors","Euro Million","27504"
"NAQ06C02","GVA at Constant Basic Prices","19951","1995Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","4032"
"NAQ06C02","GVA at Constant Basic Prices","19951","1995Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","24622"
"NAQ06C02","GVA at Constant Basic Prices","19952","1995Q2","-","All sectors","Euro Million","29055"
"NAQ06C02","GVA at Constant Basic Prices","19952","1995Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","4006"
"NAQ06C02","GVA at Constant Basic Prices","19952","1995Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","26351"
"NAQ06C02","GVA at Constant Basic Prices","19953","1995Q3","-","All sectors","Euro Million","27934"
"NAQ06C02","GVA at Constant Basic Prices","19953","1995Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","3435"
"NAQ06C02","GVA at Constant Basic Prices","19953","1995Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","25895"
"NAQ06C02","GVA at Constant Basic Prices","19954","1995Q4","-","All sectors","Euro Million","28224"
"NAQ06C02","GVA at Constant Basic Prices","19954","1995Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","4247"
"NAQ06C02","GVA at Constant Basic Prices","19954","1995Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","25120"
"NAQ06C02","GVA at Constant Basic Prices","19961","1996Q1","-","All sectors","Euro Million","29378"
"NAQ06C02","GVA at Constant Basic Prices","19961","1996Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","4377"
"NAQ06C02","GVA at Constant Basic Prices","19961","1996Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","26163"
"NAQ06C02","GVA at Constant Basic Prices","19962","1996Q2","-","All sectors","Euro Million","30756"
"NAQ06C02","GVA at Constant Basic Prices","19962","1996Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","4343"
"NAQ06C02","GVA at Constant Basic Prices","19962","1996Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","27748"
"NAQ06C02","GVA at Constant Basic Prices","19963","1996Q3","-","All sectors","Euro Million","29172"
"NAQ06C02","GVA at Constant Basic Prices","19963","1996Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","3691"
"NAQ06C02","GVA at Constant Basic Prices","19963","1996Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","26960"
"NAQ06C02","GVA at Constant Basic Prices","19964","1996Q4","-","All sectors","Euro Million","30181"
"NAQ06C02","GVA at Constant Basic Prices","19964","1996Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","4550"
"NAQ06C02","GVA at Constant Basic Prices","19964","1996Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","26799"
"NAQ06C02","GVA at Constant Basic Prices","19971","1997Q1","-","All sectors","Euro Million","31643"
"NAQ06C02","GVA at Constant Basic Prices","19971","1997Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","4994"
"NAQ06C02","GVA at Constant Basic Prices","19971","1997Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","27773"
"NAQ06C02","GVA at Constant Basic Prices","19972","1997Q2","-","All sectors","Euro Million","33523"
"NAQ06C02","GVA at Constant Basic Prices","19972","1997Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","5240"
"NAQ06C02","GVA at Constant Basic Prices","19972","1997Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","29498"
"NAQ06C02","GVA at Constant Basic Prices","19973","1997Q3","-","All sectors","Euro Million","33269"
"NAQ06C02","GVA at Constant Basic Prices","19973","1997Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","5344"
"NAQ06C02","GVA at Constant Basic Prices","19973","1997Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","29064"
"NAQ06C02","GVA at Constant Basic Prices","19974","1997Q4","-","All sectors","Euro Million","33552"
"NAQ06C02","GVA at Constant Basic Prices","19974","1997Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","5606"
"NAQ06C02","GVA at Constant Basic Prices","19974","1997Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","28992"
"NAQ06C02","GVA at Constant Basic Prices","19981","1998Q1","-","All sectors","Euro Million","35324"
"NAQ06C02","GVA at Constant Basic Prices","19981","1998Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","6447"
"NAQ06C02","GVA at Constant Basic Prices","19981","1998Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","29705"
"NAQ06C02","GVA at Constant Basic Prices","19982","1998Q2","-","All sectors","Euro Million","36036"
"NAQ06C02","GVA at Constant Basic Prices","19982","1998Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","6268"
"NAQ06C02","GVA at Constant Basic Prices","19982","1998Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","30766"
"NAQ06C02","GVA at Constant Basic Prices","19983","1998Q3","-","All sectors","Euro Million","36343"
"NAQ06C02","GVA at Constant Basic Prices","19983","1998Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","6424"
"NAQ06C02","GVA at Constant Basic Prices","19983","1998Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","30875"
"NAQ06C02","GVA at Constant Basic Prices","19984","1998Q4","-","All sectors","Euro Million","36045"
"NAQ06C02","GVA at Constant Basic Prices","19984","1998Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","6094"
"NAQ06C02","GVA at Constant Basic Prices","19984","1998Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","31035"
"NAQ06C02","GVA at Constant Basic Prices","19991","1999Q1","-","All sectors","Euro Million","37623"
"NAQ06C02","GVA at Constant Basic Prices","19991","1999Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","7344"
"NAQ06C02","GVA at Constant Basic Prices","19991","1999Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","30942"
"NAQ06C02","GVA at Constant Basic Prices","19992","1999Q2","-","All sectors","Euro Million","38619"
"NAQ06C02","GVA at Constant Basic Prices","19992","1999Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","7054"
"NAQ06C02","GVA at Constant Basic Prices","19992","1999Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","32474"
"NAQ06C02","GVA at Constant Basic Prices","19993","1999Q3","-","All sectors","Euro Million","38794"
"NAQ06C02","GVA at Constant Basic Prices","19993","1999Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","7080"
"NAQ06C02","GVA at Constant Basic Prices","19993","1999Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","32630"
"NAQ06C02","GVA at Constant Basic Prices","19994","1999Q4","-","All sectors","Euro Million","40750"
"NAQ06C02","GVA at Constant Basic Prices","19994","1999Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","8376"
"NAQ06C02","GVA at Constant Basic Prices","19994","1999Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","32892"
"NAQ06C02","GVA at Constant Basic Prices","20001","2000Q1","-","All sectors","Euro Million","39672"
"NAQ06C02","GVA at Constant Basic Prices","20001","2000Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","7582"
"NAQ06C02","GVA at Constant Basic Prices","20001","2000Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","32865"
"NAQ06C02","GVA at Constant Basic Prices","20002","2000Q2","-","All sectors","Euro Million","42204"
"NAQ06C02","GVA at Constant Basic Prices","20002","2000Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","8253"
"NAQ06C02","GVA at Constant Basic Prices","20002","2000Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","34691"
"NAQ06C02","GVA at Constant Basic Prices","20003","2000Q3","-","All sectors","Euro Million","41940"
"NAQ06C02","GVA at Constant Basic Prices","20003","2000Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","7977"
"NAQ06C02","GVA at Constant Basic Prices","20003","2000Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","34799"
"NAQ06C02","GVA at Constant Basic Prices","20004","2000Q4","-","All sectors","Euro Million","44686"
"NAQ06C02","GVA at Constant Basic Prices","20004","2000Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","10013"
"NAQ06C02","GVA at Constant Basic Prices","20004","2000Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","34884"
"NAQ06C02","GVA at Constant Basic Prices","20011","2001Q1","-","All sectors","Euro Million","42913"
"NAQ06C02","GVA at Constant Basic Prices","20011","2001Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","9590"
"NAQ06C02","GVA at Constant Basic Prices","20011","2001Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","33655"
"NAQ06C02","GVA at Constant Basic Prices","20012","2001Q2","-","All sectors","Euro Million","44432"
"NAQ06C02","GVA at Constant Basic Prices","20012","2001Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","9033"
"NAQ06C02","GVA at Constant Basic Prices","20012","2001Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","36038"
"NAQ06C02","GVA at Constant Basic Prices","20013","2001Q3","-","All sectors","Euro Million","42732"
"NAQ06C02","GVA at Constant Basic Prices","20013","2001Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","7948"
"NAQ06C02","GVA at Constant Basic Prices","20013","2001Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","35641"
"NAQ06C02","GVA at Constant Basic Prices","20014","2001Q4","-","All sectors","Euro Million","44844"
"NAQ06C02","GVA at Constant Basic Prices","20014","2001Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","9261"
"NAQ06C02","GVA at Constant Basic Prices","20014","2001Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","36180"
"NAQ06C02","GVA at Constant Basic Prices","20021","2002Q1","-","All sectors","Euro Million","44728"
"NAQ06C02","GVA at Constant Basic Prices","20021","2002Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","10041"
"NAQ06C02","GVA at Constant Basic Prices","20021","2002Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","34967"
"NAQ06C02","GVA at Constant Basic Prices","20022","2002Q2","-","All sectors","Euro Million","47649"
"NAQ06C02","GVA at Constant Basic Prices","20022","2002Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","11030"
"NAQ06C02","GVA at Constant Basic Prices","20022","2002Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","36789"
"NAQ06C02","GVA at Constant Basic Prices","20023","2002Q3","-","All sectors","Euro Million","45545"
"NAQ06C02","GVA at Constant Basic Prices","20023","2002Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","9704"
"NAQ06C02","GVA at Constant Basic Prices","20023","2002Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","36328"
"NAQ06C02","GVA at Constant Basic Prices","20024","2002Q4","-","All sectors","Euro Million","47657"
"NAQ06C02","GVA at Constant Basic Prices","20024","2002Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","10731"
"NAQ06C02","GVA at Constant Basic Prices","20024","2002Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","37212"
"NAQ06C02","GVA at Constant Basic Prices","20031","2003Q1","-","All sectors","Euro Million","45427"
"NAQ06C02","GVA at Constant Basic Prices","20031","2003Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","9816"
"NAQ06C02","GVA at Constant Basic Prices","20031","2003Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","36021"
"NAQ06C02","GVA at Constant Basic Prices","20032","2003Q2","-","All sectors","Euro Million","47874"
"NAQ06C02","GVA at Constant Basic Prices","20032","2003Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","10548"
"NAQ06C02","GVA at Constant Basic Prices","20032","2003Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","37692"
"NAQ06C02","GVA at Constant Basic Prices","20033","2003Q3","-","All sectors","Euro Million","45275"
"NAQ06C02","GVA at Constant Basic Prices","20033","2003Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","8153"
"NAQ06C02","GVA at Constant Basic Prices","20033","2003Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","38051"
"NAQ06C02","GVA at Constant Basic Prices","20034","2003Q4","-","All sectors","Euro Million","49411"
"NAQ06C02","GVA at Constant Basic Prices","20034","2003Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","11060"
"NAQ06C02","GVA at Constant Basic Prices","20034","2003Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","38673"
"NAQ06C02","GVA at Constant Basic Prices","20041","2004Q1","-","All sectors","Euro Million","48593"
"NAQ06C02","GVA at Constant Basic Prices","20041","2004Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","10247"
"NAQ06C02","GVA at Constant Basic Prices","20041","2004Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","38867"
"NAQ06C02","GVA at Constant Basic Prices","20042","2004Q2","-","All sectors","Euro Million","50474"
"NAQ06C02","GVA at Constant Basic Prices","20042","2004Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","10751"
"NAQ06C02","GVA at Constant Basic Prices","20042","2004Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","40248"
"NAQ06C02","GVA at Constant Basic Prices","20043","2004Q3","-","All sectors","Euro Million","47536"
"NAQ06C02","GVA at Constant Basic Prices","20043","2004Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","8628"
"NAQ06C02","GVA at Constant Basic Prices","20043","2004Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","39641"
"NAQ06C02","GVA at Constant Basic Prices","20044","2004Q4","-","All sectors","Euro Million","51157"
"NAQ06C02","GVA at Constant Basic Prices","20044","2004Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","10766"
"NAQ06C02","GVA at Constant Basic Prices","20044","2004Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","40944"
"NAQ06C02","GVA at Constant Basic Prices","20051","2005Q1","-","All sectors","Euro Million","51553"
"NAQ06C02","GVA at Constant Basic Prices","20051","2005Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","11514"
"NAQ06C02","GVA at Constant Basic Prices","20051","2005Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","40535"
"NAQ06C02","GVA at Constant Basic Prices","20052","2005Q2","-","All sectors","Euro Million","53121"
"NAQ06C02","GVA at Constant Basic Prices","20052","2005Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","11370"
"NAQ06C02","GVA at Constant Basic Prices","20052","2005Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","42318"
"NAQ06C02","GVA at Constant Basic Prices","20053","2005Q3","-","All sectors","Euro Million","50999"
"NAQ06C02","GVA at Constant Basic Prices","20053","2005Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","9744"
"NAQ06C02","GVA at Constant Basic Prices","20053","2005Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","41932"
"NAQ06C02","GVA at Constant Basic Prices","20054","2005Q4","-","All sectors","Euro Million","54134"
"NAQ06C02","GVA at Constant Basic Prices","20054","2005Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","11468"
"NAQ06C02","GVA at Constant Basic Prices","20054","2005Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","43258"
"NAQ06C02","GVA at Constant Basic Prices","20061","2006Q1","-","All sectors","Euro Million","53661"
"NAQ06C02","GVA at Constant Basic Prices","20061","2006Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","11216"
"NAQ06C02","GVA at Constant Basic Prices","20061","2006Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","43041"
"NAQ06C02","GVA at Constant Basic Prices","20062","2006Q2","-","All sectors","Euro Million","55877"
"NAQ06C02","GVA at Constant Basic Prices","20062","2006Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","12758"
"NAQ06C02","GVA at Constant Basic Prices","20062","2006Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","43753"
"NAQ06C02","GVA at Constant Basic Prices","20063","2006Q3","-","All sectors","Euro Million","53915"
"NAQ06C02","GVA at Constant Basic Prices","20063","2006Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","11036"
"NAQ06C02","GVA at Constant Basic Prices","20063","2006Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","43475"
"NAQ06C02","GVA at Constant Basic Prices","20064","2006Q4","-","All sectors","Euro Million","55984"
"NAQ06C02","GVA at Constant Basic Prices","20064","2006Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","11486"
"NAQ06C02","GVA at Constant Basic Prices","20064","2006Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","45117"
"NAQ06C02","GVA at Constant Basic Prices","20071","2007Q1","-","All sectors","Euro Million","58712"
"NAQ06C02","GVA at Constant Basic Prices","20071","2007Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","13902"
"NAQ06C02","GVA at Constant Basic Prices","20071","2007Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","45633"
"NAQ06C02","GVA at Constant Basic Prices","20072","2007Q2","-","All sectors","Euro Million","59269"
"NAQ06C02","GVA at Constant Basic Prices","20072","2007Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","13000"
"NAQ06C02","GVA at Constant Basic Prices","20072","2007Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","46980"
"NAQ06C02","GVA at Constant Basic Prices","20073","2007Q3","-","All sectors","Euro Million","58207"
"NAQ06C02","GVA at Constant Basic Prices","20073","2007Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","11367"
"NAQ06C02","GVA at Constant Basic Prices","20073","2007Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","47377"
"NAQ06C02","GVA at Constant Basic Prices","20074","2007Q4","-","All sectors","Euro Million","60408"
"NAQ06C02","GVA at Constant Basic Prices","20074","2007Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","13202"
"NAQ06C02","GVA at Constant Basic Prices","20074","2007Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","47925"
"NAQ06C02","GVA at Constant Basic Prices","20081","2008Q1","-","All sectors","Euro Million","59009"
"NAQ06C02","GVA at Constant Basic Prices","20081","2008Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","13122"
"NAQ06C02","GVA at Constant Basic Prices","20081","2008Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","46629"
"NAQ06C02","GVA at Constant Basic Prices","20082","2008Q2","-","All sectors","Euro Million","59184"
"NAQ06C02","GVA at Constant Basic Prices","20082","2008Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","13347"
"NAQ06C02","GVA at Constant Basic Prices","20082","2008Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","46610"
"NAQ06C02","GVA at Constant Basic Prices","20083","2008Q3","-","All sectors","Euro Million","57590"
"NAQ06C02","GVA at Constant Basic Prices","20083","2008Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","12483"
"NAQ06C02","GVA at Constant Basic Prices","20083","2008Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","45779"
"NAQ06C02","GVA at Constant Basic Prices","20084","2008Q4","-","All sectors","Euro Million","55501"
"NAQ06C02","GVA at Constant Basic Prices","20084","2008Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","11012"
"NAQ06C02","GVA at Constant Basic Prices","20084","2008Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","44974"
"NAQ06C02","GVA at Constant Basic Prices","20091","2009Q1","-","All sectors","Euro Million","55065"
"NAQ06C02","GVA at Constant Basic Prices","20091","2009Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","14043"
"NAQ06C02","GVA at Constant Basic Prices","20091","2009Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","41867"
"NAQ06C02","GVA at Constant Basic Prices","20092","2009Q2","-","All sectors","Euro Million","55634"
"NAQ06C02","GVA at Constant Basic Prices","20092","2009Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","14182"
"NAQ06C02","GVA at Constant Basic Prices","20092","2009Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","42306"
"NAQ06C02","GVA at Constant Basic Prices","20093","2009Q3","-","All sectors","Euro Million","53317"
"NAQ06C02","GVA at Constant Basic Prices","20093","2009Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","12350"
"NAQ06C02","GVA at Constant Basic Prices","20093","2009Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","41664"
"NAQ06C02","GVA at Constant Basic Prices","20094","2009Q4","-","All sectors","Euro Million","52527"
"NAQ06C02","GVA at Constant Basic Prices","20094","2009Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","11481"
"NAQ06C02","GVA at Constant Basic Prices","20094","2009Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","41666"
"NAQ06C02","GVA at Constant Basic Prices","20101","2010Q1","-","All sectors","Euro Million","54959"
"NAQ06C02","GVA at Constant Basic Prices","20101","2010Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","14533"
"NAQ06C02","GVA at Constant Basic Prices","20101","2010Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","41168"
"NAQ06C02","GVA at Constant Basic Prices","20102","2010Q2","-","All sectors","Euro Million","54887"
"NAQ06C02","GVA at Constant Basic Prices","20102","2010Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","13615"
"NAQ06C02","GVA at Constant Basic Prices","20102","2010Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","42028"
"NAQ06C02","GVA at Constant Basic Prices","20103","2010Q3","-","All sectors","Euro Million","54553"
"NAQ06C02","GVA at Constant Basic Prices","20103","2010Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","13202"
"NAQ06C02","GVA at Constant Basic Prices","20103","2010Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","42109"
"NAQ06C02","GVA at Constant Basic Prices","20104","2010Q4","-","All sectors","Euro Million","56038"
"NAQ06C02","GVA at Constant Basic Prices","20104","2010Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","13815"
"NAQ06C02","GVA at Constant Basic Prices","20104","2010Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","42997"
"NAQ06C02","GVA at Constant Basic Prices","20111","2011Q1","-","All sectors","Euro Million","55173"
"NAQ06C02","GVA at Constant Basic Prices","20111","2011Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","13860"
"NAQ06C02","GVA at Constant Basic Prices","20111","2011Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","42074"
